,Corrective Action,PLC,Model,fault,diagnostic
452,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c00 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
453,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c01 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
454,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c02 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
455,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c03 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
456,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c04 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
457,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c05 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
458,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c06 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
459,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c07 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
460,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c08 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
461,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c09 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
462,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c10 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
463,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c11 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
464,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c12 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
465,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c13 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
466,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c14 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
467,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c15 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
