,Fault,Diagnostic,Corrective Action,PLC,Model
466,"minor fault t17:c14 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
467,"minor fault t17:c15 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
468,"minor fault t17:c16 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
469,"minor fault t17:c17 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
470,"minor fault t17:c18 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
471,"minor fault t17:c19 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
472,"minor fault t17:c20 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
473,"minor fault t17:c21 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
474,"minor fault t17:c22 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
475,"minor fault t17:c23 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
476,"minor fault t17:c24 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
477,"minor fault t17:c25 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
478,"minor fault t17:c26 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
479,"minor fault t17:c27 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
480,"minor fault t17:c28 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
481,"minor fault t17:c29 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
482,"minor fault t17:c30 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program before the controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
483,"minor fault t17:c31 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed. upload and save program beforethe  controller is powered down. ,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
